"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"<U+1E2A>UR.SAG","pí-ša-i-ša",NA,"KBo 12.31 IV 6'",132,"HaH","sjh.","(443/s)","Pišaiša"
"KUR","pí-ša-i-ša-aš",NA,"KBo 23.113 III 13'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-ša-i-ša-aš",NA,"KBo 23.113 III 14'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-š[a-i]-ša-an",NA,"KBo 23.113 III 15'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-ša-i-ša-aš",NA,"KBo 23.113 III 16'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-ša-i-ša",NA,"KBo 23.113 III 18'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-[",NA,"KBo 23.113 III 19'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-ša-i-ša",NA,"KBo 23.113 III 26'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"KUR","pí-ša-i-ša",NA,"KBo 23.113 III 27'",582,"Bk. A","sjh.","(366/c)","Pišaiša"
"<U+1E2A>UR.SAG","pí-ša-i-š[a",NA,"KBo 26.103 2'",350,"T.I","jh.","(170/v)","Pišaiša"
"—","p[í-",NA,"KBo 27.117 Rs. 8'",790,"Bk. A","mh.?","(524/c)","Pišaiša"
"—","pí-ša-ša-ap-<U+1E2B>i",NA,"KUB 25.47 I 13'",701,"T.I","jh.","(479/t)","Pišaiša"
"—","pí-ša-ša-ap-<U+1E2B>i",NA,"KBo 33.181 Vs. 14'",628,"Bk. D","jh.","(229/g)","Pišaiša"
"br.","pí-ša-a-iš-pa-a-ni-el",NA,"FHG 23 15'",777,"Bk. A","mh.","(1577/c)","Pišaiša"
"[<U+1E2A>UR.SA]G","pí-ša-i-ša",NA,"KBo 5.9 IV 12",62,"T.I","jh.","(456/z)","Pišaiša"
"—","pí-i-ša-ša-ap-<U+1E2B>i",NA,"KUB 45.3 I 46",701,"T.I","mh.","(597/v)","Pišaiša"
"br.","pí-i-ša-[",NA,"KBo 55.14 3'",348,"T.I","jh.","(959/u)","Pišaiša"
"[<U+1E2A>UR].SAG","pi-i-ša-i-ša",NA,"KUB 27.11 3'",705,"<U+1E2A>attuša","jh.","(Bo 6751)","Pišaiša"
"pa-pa-an-ni","p[í-",NA,"KUB 27.42 Vs. 10",784,"<U+1E2A>attuša","mh.","(Bo 552)","Pišaiša"
"—","pí-ša-i-ša-ap-<U+1E2B>i",NA,"KUB 32.44 Rs. 17'",701,"Bk. A","jh.","(100/a)","Pišaiša"
"br.","pí-ša-ša-ap-<U+1E2B>i",NA,"KUB 32.57 9'",701,"Bk. A","jh.","(47/b)","Pišaiša"
"—","pí-ša-[",NA,"KUB 32.58 Vs. 9'",701,"Bk. A","mh.","(383/b)","Pišaiša"
"<U+1E2A>UR.SAG","pí-ša-i-ša-aš",NA,"KUB 33.108 II 12'",350,"<U+1E2A>attuša","jh.","(Bo 3206)","Pišaiša"
"br.","pí-ša-[",NA,"KUB 33.108 II 23'",350,"<U+1E2A>attuša","jh.","(Bo 3206)","Pišaiša"
"<U+1E2A>UR.SAG","pí-ša-i-ša-aš",NA,"KUB 33.108 II 5'",350,"<U+1E2A>attuša","jh.","(Bo 3206)","Pišaiša"
"[UR]U?","pi-i-ša-i-ša-a[p",NA,"KBo 39.179 2'",766,"Bk. A","mh.","(1324/c)","Pišaiša"
"<U+1E2A>UR.SAG","pi-i-ša-i-ša",NA,"KBo 1.4 IV 29'",53,"T.I","k.A.","(2015/g)","Pišaiša"
"—","pí-ša-i-ša-ap-<U+1E2B>i",NA,"KUB 25.48 IV 18'",628,"<U+1E2A>attuša","jh.","(Bo 320)","Pišaiša"
"—","pí-ša-š[a-",NA,"KUB 45.21 Rs.! 18",780,"<U+1E2A>attuša","mh.","(Bo 9250)","Pišaiša"
"—","pí-ša-ša-ap-<U+1E2B>i",NA,"KUB 45.21 Rs.! 8",780,"<U+1E2A>attuša","mh.","(Bo 9250)","Pišaiša"
"—","pí-ša-i-ša-ap-<U+1E2B>i",NA,"KUB 45.55 Vs. 4'",628,"<U+1E2A>attuša","jh.","(Bo 2212)","Pišaiša"
